nohup: 入力を無視します
GPU name: NVIDIA GeForce RTX 3090, gpu_id: 0
cuda
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
nb of nodes : 20
1
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
mkdir: ディレクトリ `logs' を作成できません: ファイルが存在します

Epoch: 114, epoch time: 6.453min, tot time: 0.520day, L_train: 3.872, L_base: 3.871, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 115, epoch time: 6.454min, tot time: 0.525day, L_train: 3.875, L_base: 3.874, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 116, epoch time: 6.586min, tot time: 0.529day, L_train: 3.872, L_base: 3.872, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 117, epoch time: 6.479min, tot time: 0.534day, L_train: 3.879, L_base: 3.879, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 118, epoch time: 6.454min, tot time: 0.538day, L_train: 3.878, L_base: 3.878, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 119, epoch time: 6.460min, tot time: 0.543day, L_train: 3.864, L_base: 3.864, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 120, epoch time: 6.491min, tot time: 0.547day, L_train: 3.866, L_base: 3.867, L_test: 3.868, gap_train(%): -100.000, update: True
Epoch: 121, epoch time: 6.589min, tot time: 0.552day, L_train: 3.875, L_base: 3.874, L_test: 3.868, gap_train(%): -100.000, update: False
Epoch: 122, epoch time: 6.569min, tot time: 0.557day, L_train: 3.858, L_base: 3.856, L_test: 3.868, gap_train(%): -100.000, update: False
Epoch: 123, epoch time: 6.456min, tot time: 0.561day, L_train: 3.876, L_base: 3.875, L_test: 3.868, gap_train(%): -100.000, update: False
Epoch: 124, epoch time: 6.459min, tot time: 0.566day, L_train: 3.863, L_base: 3.863, L_test: 3.868, gap_train(%): -100.000, update: False
Epoch: 125, epoch time: 6.462min, tot time: 0.570day, L_train: 3.859, L_base: 3.860, L_test: 3.867, gap_train(%): -100.000, update: True
Epoch: 126, epoch time: 6.469min, tot time: 0.575day, L_train: 3.867, L_base: 3.868, L_test: 3.865, gap_train(%): -100.000, update: True
Epoch: 127, epoch time: 6.655min, tot time: 0.579day, L_train: 3.866, L_base: 3.865, L_test: 3.865, gap_train(%): -100.000, update: False
Epoch: 128, epoch time: 6.597min, tot time: 0.584day, L_train: 3.874, L_base: 3.872, L_test: 3.865, gap_train(%): -100.000, update: False
Epoch: 129, epoch time: 6.578min, tot time: 0.588day, L_train: 3.865, L_base: 3.866, L_test: 3.867, gap_train(%): -100.000, update: True
Epoch: 130, epoch time: 6.579min, tot time: 0.593day, L_train: 3.871, L_base: 3.871, L_test: 3.867, gap_train(%): -100.000, update: False
Epoch: 131, epoch time: 6.581min, tot time: 0.597day, L_train: 3.861, L_base: 3.862, L_test: 3.867, gap_train(%): -100.000, update: False
